level_0,index,doc_id,title,doc_sim,par_sim,par_length,doc_length,question_type,truths,q,para,q_id,answer,score,idxs,ids,pos,ner,target,sum_span_score,max_span_score,min_span_score,avg_span_score,sum_doc_score,max_doc_score,min_doc_score,avg_doc_score,first_occurence,num_occurence
0,116,6453401,"Normandy, Surrey",0.8019477725028992,0.0,2,2446,5,['in the late 1990s'],In what country is Normandy located?,Geography.,0,Geography,0.9989827871322632,"(0, 9)",116,['NN'],[''],0,123.78194005042315,0.9989827871322632,0.0814120173454284,0.7155025436440644,97.73882816283619,1.0,0.0,0.25386708613723685,116,1
1,96,764402,USS Normandy,0.8339366912841797,0.0,2,2030,5,['in the late 1990s'],In what country is Normandy located?,Crest.,0,Crest,0.9945897459983826,"(0, 5)",96,['NN'],['ORG'],0,4.5148710161447525,0.9945897459983826,0.1924863010644912,0.5643588770180941,68.4493369535887,0.7362938791944699,0.0,0.21938890049227147,96,1
2,60,764402,USS Normandy,0.8339366912841797,0.364651845279327,72,2030,5,['in the late 1990s'],In what country is Normandy located?,"On 8 May 1990, ""Normandy"" responded to a distress call by the destroyer off of the coast of Virginia. A major fuel oil fire erupted from the ship's Forward Fire Room into the ship's superstructure, isolating the crew forward and aft. Fire crews from the ""Normandy"" boarded ""Conyngham"" via small boat transfer and were instrumental in extinguishing the fire.",0,Virginia,0.985073983669281,"(92, 100)",60,['NNP'],['GPE'],0,3.9625017046928406,0.985073983669281,0.3613748252391815,0.6604169507821401,68.4493369535887,0.7362938791944699,0.0,0.21938890049227147,60,1
3,95,764402,USS Normandy,0.8339366912841797,0.0,2,2030,5,['in the late 1990s'],In what country is Normandy located?,Shield.,0,Shield,0.9839441776275636,"(0, 6)",95,['NNP'],['ORG'],0,4.064132258296013,0.9839441776275636,0.1315269768238067,0.5080165322870016,68.4493369535887,0.7362938791944699,0.0,0.21938890049227147,95,1
0,244,21476352,Normans,0.576325535774231,0.0,97,7073,6,['singing and dancing'],When were the Normans in Normandy?,"While in Limassol, Richard the Lion-Heart married Berengaria of Navarre, first-born daughter of King Sancho VI of Navarre. The wedding was held on 12 May 1191 at the Chapel of St. George and it was attended by Richard's sister Joan, whom he had brought from Sicily. The marriage was celebrated with great pomp and splendor. Among other grand ceremonies was a double coronation: Richard caused himself to be crowned King of Cyprus, and Berengaria Queen of England and Queen of Cyprus as well.",1,12 May 1191,0.9613816738128662,"(147, 158)",244,"['CD', 'NNP', 'CD']","['CARDINAL', 'DATE', 'DATE']",0,0.9613816738128662,0.9613816738128662,0.9613816738128662,0.9613816738128662,10.278386186442809,0.5199498949198934,0.0,0.13348553488886766,103,1
1,159,49188979,Normandy (administrative region),0.548699676990509,0.4154698170893616,12,651,6,['singing and dancing'],When were the Normans in Normandy?,In 1790 the five departments of Normandy replaced the former province.,1,1790,0.9254151582717896,"(3, 7)",159,['CD'],['CARDINAL'],0,4.379653692245483,0.9716192483901978,0.7707595825195312,0.8759307384490966,46.78002715552902,0.7946651753297,0.0,0.30376641010083777,18,1
2,269,49188979,Normandy (administrative region),0.548699676990509,0.0,43,651,6,['singing and dancing'],When were the Normans in Normandy?,The Regional Council has 102 members who are elected under a system of proportional representation. The executive consists of a president and vice-presidents. Hervé Morin from the Centre party was elected president of the council in January 2016.,1,January 2016,0.9019612073898317,"(233, 245)",269,"['NNP', 'CD']","['DATE', 'DATE']",0,3.647688090801239,0.9645823240280152,0.4115991592407226,0.7295376181602478,46.78002715552902,0.7946651753297,0.0,0.30376641010083777,128,1
3,260,225777,Battle of Civitate,0.5694701075553894,0.0,127,2537,6,['singing and dancing'],When were the Normans in Normandy?,"The raiding activities which brought about such hatred also occurred in the see of Benevento, a deed not emphasized in the Norman chronicles, but for Pope Leo this was the more significant concern in the political instability of the region. In fact, according to Graham Loud, the Beneventians, who previously had been approached by both the German Emperor Henry III and by the Pope previously to swear fealty, finally appealed and submitted to Leo to personally take over the control of the city (as well as lifting a previous excommunication) in 1051. At this point, Benevento was also the border and march land between Rome and the German Empire and the newly established Norman holdings.",1,1051,0.9001551866531372,"(547, 551)",260,['CD'],['DATE'],0,3.6328877098858356,0.9550089836120604,0.0459847338497638,0.7265775419771672,142.06366256566938,0.814373069617843,0.0,0.20236988969468572,119,1
0,404,22666,Old Norse,0.5213705897331238,0.0,20,7472,12,['2003'],From which countries did the Norse originate?,"Moreover, the Danish pitch accent shared with Norwegian and Swedish changed into ""stød"" around this time.",2,Norwegian and Swedish,0.9934422373771667,"(46, 67)",404,"['JJ', 'CC', 'JJ']","['NORP', '', 'NORP']",0,1.220082089304924,0.9934422373771667,0.2266398519277572,0.610041044652462,70.56235970308157,0.8989306558041451,0.0,0.1378171087950812,133,1
1,315,22666,Old Norse,0.5213705897331238,0.2334355269274884,136,7472,12,['2003'],From which countries did the Norse originate?,"The earliest body of text appears in runic inscriptions and in poems composed c. 900 by Þjóðólfr of Hvinir (although the poems are not preserved in contemporary sources, but only in much later manuscripts). The earliest manuscripts are from the period 1150–1200 and concern both legal, religious and historical matters. During the 12th and 13th centuries, Trøndelag and Western Norway were the most important areas of the Norwegian kingdom and they shaped Old West Norse as an archaic language with a rich set of declensions. In the body of text that has survived into the modern day from until c. 1300, Old West Norse had little dialect variation, and Old Icelandic does not diverge much more than the Old Norwegian dialects do from each other.",2,Trøndelag and Western Norway,0.9771232604980468,"(356, 384)",315,"['NNP', 'CC', 'NNP', 'NNP']","['ORG', '', '', '']",0,0.9771232604980468,0.9771232604980468,0.9771232604980468,0.9771232604980468,70.56235970308157,0.8989306558041451,0.0,0.1378171087950812,44,1
